"题号","题干","A","B","C","D","E","答案","难度","题型"
"205","在毛泽东思想指引下，我们找到了一条（   ）的道路，确立了社会主义基本制度，实现了中华民族有史以来最为广泛而深刻的社会变革。","从旧民主主义向新民主主义过渡","从资本主义向社会主义过渡","从新民主主义向社会主义过渡","从旧民主主义向社会主义过渡","","C","无","单选题"
"206","20世纪70年代，整个世界发生着大变动大调整，时代主题是（    ）。","开放与融通","革命与战争","合作与共赢","和平与发展","","D","无","单选题"
"207","毛泽东提出的把对人民内部的民主和对敌人的专政互相结合起来就是（   ），丰富了马克思列宁主义关于无产阶级专政的学说。","人民民主专政的理论","军事战略的理论","政策和策略的理论","党的建设理论","","A","无","单选题"
"208","（  ）是保持人民军队无产阶级性质和建军宗旨的根本前提，也是毛泽东建军思想的核心。","军民一致、军政一致、官兵一致","打仗、筹款、做群众工作","全心全意为人民服务","坚持党对军队的绝对领导","","D","无","单选题"
"209","党在社会主义初级阶段的基本路线中，（ ）是实现奋斗目标的根本立足点。","以经济建设为中心","坚持四项基本原则","自力更生，艰苦创业","领导和团结各族人民","","C","无","单选题"
"210","我国社会主义政治文明区别于资本主义政治文明的本质特征是（    ）。","物质文明、精神文明、政治文明的协调发展","坚持党的领导、人民当家作主和依法治国的有机统一","建立在公有制的基础上","坚持依法治国与以德治国相结合","","B","无","单选题"
"211","大革命时期，毛泽东以马克思列宁主义为指导，深入实际调查研究，在《中国社会各阶级的分析》《湖南农民运动考察报告》等著作中，分析了中国社会各阶级在革命中的地位和作用，明确指出（   ）。","把党的工作重点由城市转入农村","枪杆子里面出政权","新民主主义革命的总路线","无产阶级领导农民斗争的极端重要性","","D","无","单选题"
"212","（   ），是团结全党进行伟大政治斗争的中心环节。","掌握思想教育","军队建设","批评与自我批评","科教工作","","A","无","单选题"
"213","以下选项中不属于习近平新时代中国特色社会主义思想的主要内容的是（    ）。","明确全面深化改革总目标是完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化","坚持总体国家安全观","以人为本""全面发展""协调发展""可持续发展","积极发展全过程人民民主","","C","无","单选题"
"214","毛泽东规定的人民军队的唯一宗旨是（   ）。","坚持党对军队的绝对领导","打仗、筹款、做群众工作","军民一致、军政一致、官兵一致","全心全意为人民服务","","D","无","单选题"
"215","以下关于习近平新时代中国特色社会主义思想的表述不正确的是（    ）。","是全党全国人民为实现中华民族伟大复兴而奋斗的行动指南","是对马克思列宁主义、毛泽东思想、邓小平理论、""三个代表""重要思想、科学发展观的继承和发展","是中国特色社会主义理论体系在新世纪新阶段的新发展","是中华文化和中国精神的时代精华","","C","无","单选题"
"216","三个代表重要思想提出，(    )的利益是最紧要和最具有决定性的因素。","多数人","最大多数人","群众","执政党","","B","无","单选题"
"217","中国的武装斗争，是无产阶级领导的以（   ）为主体的革命战争。","农民","工人","学生","知识分子","","A","无","单选题"
"218","邓小平指出，社会主义的本质，是解放生产力，发展生产力，消灭剥削，消除两极分化，最终达到（ ）。","发达国家水平","小康社会","共同富裕","现代化","","C","无","单选题"
"219","三个代表重要思想强调领导干部一定要做到""三讲""，其中（   ）是前提。","讲政治","讲学习","讲纪律","讲正气","","B","无","单选题"
"220","中国新民主主义革命的开端是（  ）。","五四运动","辛亥革命","新文化运动","南昌起义","","A","无","单选题"
"221","1978年12月13日，邓小平在中央工作会议闭幕会议上发表了（ ）的重要讲话，这实际上是党的十一届三中全会的主题报告。","《加快和深化改革》","《全面开创社会主义现代化建设的新局面》","《解放思想，实事求是，团结一致向前看》","《积极探索中国社会主义建设道路，总结经验，为建设一个伟大的社会主义中国而奋斗》","","C","无","单选题"
"222","20世纪80年代末90年代初，科技进步日新月异，以（    ）为核心的高新技术的发展，极大地改变了人们的生产、生活方式和国际经济、政治关系。","多极化","经济革命","全球化","信息技术","","D","无","单选题"
"223","三个代表重要思想提出了（    ）的新要求。","政治建设","党的建设","经济建设","文化建设","","B","无","单选题"
"224","下列关于毛泽东和毛泽东思想的评价正确的是（   ）。","毛泽东思想是被实践证明了的关于中国革命和建设的正确的理论原则和经验总结","毛泽东晚年的错误足以否定他所建立的功绩","毛泽东终其一生为党和国家立下丰功伟绩，不应该谈论其过失","毛泽东晚年的错误同经过长期历史检验形成科学理论的毛泽东思想不能区别开来","","A","无","单选题"
"225","党的十一届三中全会作出了把党和国家工作重点转移到（ ）上来的战略决策。","阶级斗争","社会主义市场经济建设","社会主义现代化建设","建设国防为中心的战略大后方","","C","无","单选题"
"226","三个代表重要思想强调，必须树立（    ）是第一资源的思想。","人才资源","知识资源","科技资源","物质资源","","A","无","单选题"
"227","江泽民强调，（    ），是决定一个政党、一个政权兴亡的根本性因素。","文化进步","人心向背","民族昌盛","科技发展","","B","无","单选题"
"228","在十月革命的影响下，以五四运动为标志，中国（  ）开始作为独立的政治力量登上历史舞台，成为革命的领导力量。","无产阶级","民族资产阶级","农民阶级","城市小资产阶级","","A","无","单选题"
"229","党在社会主义初级阶段的基本路线中，（ ）是实现奋斗目标的领导力量和依靠力量。","坚持四项基本原则","自力更生，艰苦创业","领导和团结各族人民","以经济建设为中心","","C","无","单选题"
"230","中国共产党要领导革命取得胜利，必须不断加强党的建设。必须把（  ）始终放在党的建设的首位。","思想建设","文化建设","组织建设","作风建设","","A","无","单选题"
"231","三个代表重要思想强调社会主义社会是全面发展、(    )的社会。","全面完善","全面进步","全面巩固","全面提高","","B","无","单选题"
"232","1980年5月，（ ）第一次提出了""社会主义的本质""这个概念。","江泽民","毛泽东","邓小平","胡锦涛","","C","无","单选题"
"233","（   ），是建立社会主义市场经济体制的重要内容。","理顺分配关系","建立和完善社会保障体系","发挥市场机制的作用","健全统一、开放、竞争、有序的现代市场体系","","B","无","单选题"
"234","（    ）确定了党在社会主义初级阶段的基本纲领。","党的十六大","党的十四大","党的十五大","党的十七大","","C","无","单选题"
"235","（    ）是第一生产力，是先进生产力的集中体现和主要标志。","人才培养","创新发展","科学技术","改革开放","","C","无","单选题"
"236","江泽民同志提出本世纪头二十年是(     )的阶段，形成了""两个一百年""的奋斗目标。","实现现代化","全面建设小康社会","全面建成总体小康社会","全面建设社会主义现代化","","B","无","单选题"
"237","三个代表重要思想是在（   ）实践基础上形成的。","改革开放","建设中国特色社会主义","发展社会主义市场经济","推进政治体制改革","","B","无","单选题"
"238","党在社会主义初级阶段的基本路线中，（ ）是实现奋斗目标的领导力量和依靠力量。","坚持四项基本原则","自力更生，艰苦创业","领导和团结各族人民","以经济建设为中心","","C","无","单选题"
"239","（    ），是凝聚和激励全国各族人民的重要力量，是综合国力的重要标志。","中华优秀传统文化","中国特色社会主义文化","世界各国先进文化","马克思主义经典著作","","B","无","单选题"
"240","（    ）是我们党一贯坚持的根本组织制度和领导制度。","集体领导制度","人民代表大会制度","民主集中制","人民政协制度","","C","无","单选题"
"241","1986年，（ ）根据邓小平关于加强精神文明建设的思想，提出以经济建设为中心，坚定不移地进行经济体制改革，坚定不移地进行政治体制改革，坚定不移地加强精神文明建设，并且使这几个方面互相配合、互相促进，初步形成了我国社会主义现代化建设""三位一体""的总体布局。","党的十二届六中全会","党的十二届五中全会","党的十一届六中全会","党的十一届五中全会","","A","无","单选题"
"242","社会主义社会基本矛盾运动的特点是(    )。","对抗性矛盾","又相适应又相矛盾","普遍充满矛盾且无法解决","敌我矛盾","","B","无","单选题"
"243","（    ）是社会主义民主政治的本质要求。","人民当家作主","依法治国","建设政治文明","党的领导","","A","无","单选题"
"244","党要承担起推动中国社会进步的历史责任，必须始终紧紧抓住（    ）这个执政兴国的第一要务。","创新","改革","发展","稳定","","C","无","单选题"
"245","邓小平曾深刻指出，""任何一个领导集体都要有一个核心，没有核心的领导是靠不住的""。因此，民主集中制的基本原则中最重要的就是（ ）。","少数服从多数","全党服从中央","下级组织服从上级组织","党员个人服从党组织","","B","无","单选题"
"246","1985年，邓小平在会见日本自由民主党副总裁二阶堂进时提出，""改革是中国的第二次革命""。这里的""革命""是指（ ）。","把新民主主义国家变成社会主义国家","把一个半殖民地半封建的旧中国变成一个社会主义新中国","把一个经济文化比较落后的社会主义中国变成一个现代化的社会主义国家","把社会主义国家变成共产主义国家","","C","无","单选题"
"247","社会主义的根本任务是（    ）。","实现共同富裕","消灭剥削","发展社会生产力","消除两极分化","","C","无","单选题"
"248","三个代表重要思想提出，（    ）是党的全部工作和战斗力的基础。","党的委员会","党的基层组织","党小组","党的地方组织","","B","无","单选题"
"249","（    ），大力促进先进生产力的发展，是我们党站在时代前列、保持先进性的根本体现和根本要求。","始终代表中国最广大人民的根本利益","始终代表中国先进文化的前进方向","始终代表中国先进生产力的发展要求","始终代表最中国最先锋阶级的根本诉求","","C","无","单选题"
"250","科学发展观创造性地回答的主要问题是新形势下（  ）。","实现什么样的发展、怎样发展","建设什么样的党、怎样建设党","什么是社会主义、怎样建设社会主义","建设什么样的市场经济、怎样完善市场经济","","A","无","单选题"
"251","社会主义现代化必须建立在（    ）的基础之上。","先进生产关系","先进意识形态","发达生产力","先进文化","","C","无","单选题"
"252","三个代表重要思想科学回答了在充满希望与挑战的新世纪，（    ）这样一个重大时代课题。","实现什么样的发展、怎样发展","建设一个什么样的党、怎样建设党","什么是社会主义和怎样建设社会主义","新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义","","B","无","单选题"
"253","和平统一、一国两制的核心是坚持（ ）。","高度自治","两制并存","一个中国","和平统一","","C","无","单选题"
"254","我们党领导人民进行革命、建设和改革，都是为了促进（    ）的解放和发展。","生产力","科学技术","先进思想","先进文化","","A","无","单选题"
"255","（  ）是保障人民生活、调节社会分配的一项基本制度，是社会和谐稳定的安全网。","基层民主","社会保障","共同富裕","义务教育","","B","无","单选题"
"256","推进党的建设新的伟大工程要求我们，一定要坚持（   ）的方针。","党要管党、从严治党","加强党内思想建设","提高党的执政水平","提高党的领导水平","","A","无","单选题"
"257","（    ），是社会主义市场经济体制的本质要求。","建立全国统一开放的市场体系","转变政府管理经济的职能","发挥市场机制的作用和国家宏观调控","建立多层次的社会保障制度","","C","无","单选题"
"258","党的（  ）提出实现全面建设小康社会奋斗目标的新要求。","十六大","十七大","十五大","十八大","","B","无","单选题"
"259","坚持中国共产党的领导，核心是坚持党的（    ）。","先进性","组织性","纯洁性","政治性","","A","无","单选题"
"260","（    ）通过的《中共中央关于建立社会主义市场经济体制若干问题的决定》，勾画了建立社会主义市场经济体制的蓝图和基本框架。","党的十四大","党的十三大","党的十四届三中全会","党的十五大","","C","无","单选题"
"261","（    ）是以胡锦涛同志为主要代表的中国共产党人，在新世纪新阶段全面建设小康社会进程中，在新的历史起点上推进中国特色社会主义事业的过程中形成和发展起来的。","以人为本","科学发展观","和谐社会","新发展理念","","B","无","单选题"
"262","（    ），是实现现代化建设第三步战略目标必经的承上启下的发展阶段，也是完善社会主义市场经济体制和扩大对外开放的关键阶段。","全面建成社会主义现代化国家","共同富裕","全面建设小康社会","全面推进中华民族伟大复兴","","C","无","单选题"
"263","建设社会主义（    ），是我国改革开放和社会主义现代化建设发展的必然要求。","精神文明","政治文明","物质文明","共享文明","","B","无","单选题"
"264","加强和改进党的作风建设，核心问题是（    ）。","保持党同人民群众的血肉联系","保持原则问题上的坚定性","保持思想上的坚定性","保持理论联系实际的优良作风","","A","无","单选题"
"265","加强（   ）是发展先进文化的重要内容和中心环节。","社会主义法治文明建设","社会主义精神文明建设","社会主义思想道德建设","社会主义政治建设","","C","无","单选题"
"266","（    ）是生产力中最活跃的因素。","科技","人","创新","改革","","B","无","单选题"
"267","实施（    ）战略，是更好地利用国内外两个市场、两种资源的必然选择，是逐步形成我们自己的大型企业和跨国公司的重要途径。","走出去","引进来","两免一补","三去一降一补","","A","无","单选题"
"268","党的十一届三中全会作出了把党和国家工作重点转移到（ ）上来的战略决策。","阶级斗争","社会主义市场经济建设","社会主义现代化建设","建设国防为中心的战略大后方","","C","无","单选题"
"269","邓小平理论指导了改革开放的伟大实践。下列哪一项不属于邓小平理论的重要内容（ ）。","明确提出和平与发展是当代世界的两大主题","全面建设小康社会","制定了现代化建设""三步走""发展战略","强调加强党的领导必须改善党的领导","","B","无","单选题"
"270","发展先进文化，就是发展（    ），就是建设社会主义精神文明。","新兴文化","中华优秀传统文化","中国特色社会主义的文化","大众文化","","C","无","单选题"
"271","党的十一届三中全会以后，以（ ? ）同志为主要代表的中国共产党人，领导全党和全国人民果断地纠正了过去一个时期的错误，深刻地分析了错误出现的原因，同时又坚决地维护和继承了过去在理论上和实践上所取得的一切积极成果。","胡耀邦","陈云","叶剑英","邓小平","","D","无","单选题"
"272","发展社会主义民主政治，最重要的就是要坚持好、发展好适合我国国情的（  ）。","社会主义经济制度","社会主义政治制度","社会主义民主法治","社会主义政商关系","","B","无","单选题"
"273","三个代表重要思想强调，推进党的建设新的伟大工程，要坚持用（    ）武装全党。","马克思主义","改革精神","与时俱进的理论","全面建设社会主义现代化国家的行动纲领","","A","无","单选题"
"274","做好（   ）工作是发展先进文化的重要任务。","新闻媒体","哲学社会科学","思想政治","文艺繁荣","","C","无","单选题"
"275","人民代表大会制度是我国的（  ），是全国各族人民当家作主的根本途径和最高实现形式，是中国社会主义民主政治最鲜明的特点。","基本政治制度","根本政治制度","基本政治保证","基层组织制度","","B","无","单选题"
"276","（  ）是民族振兴、社会进步的基石，是国家和民族发展最根本的事业。","教育","民主","就业","医疗","","A","无","单选题"
"277","（  ）是符合我国国情、具有鲜明中国特色的社会主义新型政党制度。","多党合作的政治协商制度","中国共产党领导的多党合作和政治协商制度","人民代表大会制度","基层群众自治制度","","B","无","单选题"
"278","党的一切工作，必须以（     ）为最高标准。","经济效益和社会效益的统一","生产力的发展","最广大人民的根本利益","共同富裕","","C","无","单选题"
"279","江泽民紧紧把握经济全球化加快的趋势，强调中国要发展、要进步、要富强，就必须（    ），加强与世界各国的经济、科技、文化的交流和合作，吸收和借鉴一切先进的东西。","深化改革","对外开放","坚持高质量发展","融入全球产业链","","B","无","单选题"
"280","（ ）是强国之路，是我们党和国家发展进步的活力源泉。","改革开放","创新驱动","四项基本原则","经济建设","","A","无","单选题"
"281","毛泽东强调，关于正确处理人民内部矛盾的问题是（    ）的主题。","建设创新型国家","建设社会主义现代化国家","社会主义初级阶段","社会主义国家政治生活","","D","无","单选题"
"282","2018年，（    ）通过的宪法修正案，郑重地把习近平新时代中国特色社会主义思想载入宪法，实现了国家指导思想的与时俱进。","十四届全国人大一次会议","十三届全国人大二次会议","十三届全国人大一次会议","十四届全国人大二次会议","","C","无","单选题"
"283","依法治国，前提是（  ）。","有法必依","有法可依","执法必严","违法必究","","B","无","单选题"
"284","（  ）是兴国之魂，决定着中国特色社会主义发展方向。","普世价值","社会主义核心价值体系","社会主义荣辱观","核心价值观","","B","无","单选题"
"285","以下选项中不属于习近平新时代中国特色社会主义思想的主要内容的是（    ）。","明确全面深化改革总目标是完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化","坚持总体国家安全观","以人为本""全面发展""协调发展""可持续发展","积极发展全过程人民民主","","C","无","单选题"
"286","中国共产党把全心全意为人民服务作为自己的（  ），始终坚持人民的利益高于一切。","唯一标准","根本宗旨","指导思想","党规党纪","","B","无","单选题"
"287","以下关于习近平新时代中国特色社会主义思想的表述不正确的是（    ）。","是全党全国人民为实现中华民族伟大复兴而奋斗的行动指南","是对马克思列宁主义、毛泽东思想、邓小平理论、""三个代表""重要思想、科学发展观的继承和发展","是中国特色社会主义理论体系在新世纪新阶段的新发展","是中华文化和中国精神的时代精华","","C","无","单选题"
"288","科学发展观的基本要求是（  ）","全面协调可持续","以人为本","统筹兼顾","发展","","A","无","单选题"
"289","和平统一、一国两制的核心是坚持（ ）。","高度自治","两制并存","一个中国","和平统一","","C","无","单选题"
"290","（ ）是社会发展的最根本的决定性因素。","生产关系","生产力","科学技术","国防力量","","B","无","单选题"
"291","1980年5月，（ ）第一次提出了""社会主义的本质""这个概念。","江泽民","毛泽东","邓小平","胡锦涛","","C","无","单选题"
"292","我们党的文件中第一次提出科学发展观是在（    ）。","党的十六大","党的十六届三中全会","党的十六届四中全会","党的十七大","","B","无","单选题"
"293","社会主义市场经济理论认为，计划经济与市场经济属于（ ）。","不同的资源配置方式","不同的经济增长方式","不同的经济制度的范畴","不同的生产关系的范畴","","A","无","单选题"
"294","党的（    ）把科学发展观写入党章，科学发展观进一步走向成熟。","十六大","十七大","十八大","十九大","","B","无","单选题"
"295","胡锦涛在全国科学技术大会上的讲话中指出，我国调整产业结构、转变增长方式的中心环节是（  ）。","增强自主创新能力","积极实施可持续发展战略","建立资源节约型、环境友好型社会","大力倡导科教兴国战略","","A","无","单选题"
"296","邓小平指出，社会主义的本质，是解放生产力，发展生产力，消灭剥削，消除两极分化，最终达到（ ）。","发达国家水平","小康社会","共同富裕","现代化","","C","无","单选题"
"297","邓小平指出：""在中国建设社会主义这样的事，马克思的本本上找不出来，列宁的本本上也找不出来，每个国家都有自己的情况，各自的经历也不同，所以要（ ）。""","加强交流","独立思考","改革开放","学习借鉴","","B","无","单选题"
"298","科学发展观是对经济社会发展（  ）认识的深化，是马克思主义关于发展的世界观和方法论的集中体现。","一般规律","时代规律","价值规律","特殊规律","","A","无","单选题"
"299","1978年12月13日，邓小平在中央工作会议闭幕会议上发表了（ ）的重要讲话，这实际上是党的十一届三中全会的主题报告。","《加快和深化改革》","《全面开创社会主义现代化建设的新局面》","《解放思想，实事求是，团结一致向前看》","《积极探索中国社会主义建设道路，总结经验，为建设一个伟大的社会主义中国而奋斗》","","C","无","单选题"
"300","台湾问题性质不同于香港问题和澳门问题，台湾问题的实质是（ ）。","历史上殖民主义侵略遗留下来的问题","中国的内政问题","中国与日本的关系问题","中国与美国的关系问题","","B","无","单选题"
"301","党的十七大在""五个统筹""的基础上提出要实现""八个统筹""，进一步丰富了我们党关于统筹兼顾的思想。新增的""三个统筹""是（   ）。","统筹中央和地方关系，统筹个人利益和集体利益、局部利益和整体利益、当前利益和长远利益，统筹国内国际两个大局","统筹城乡发展，统筹个人利益和集体利益、局部利益和整体利益当前利益和长远利益，统筹国内发展和对外开放","统筹经济社会发展，统筹个人利益和集体利益、局部利益和整体利益、当前利益和长远利益，统筹国内国际两个大局","统筹城乡发展、统筹区域发展、统筹经济社会发展","","A","无","单选题"
"302","经济体制改革的核心问题是处理好（  ）的关系。","党和群众","政府和市场","经济与政治","经济与生态","","B","无","单选题"
"303","党的十四大报告从（    ）等九个方面概括了中国特色社会主义理论的主要内容。","战略步骤、阶级基础、根本任务","发展目标、外部环境、组织保证","根本任务、发展动力、政治保证","发展道路、发展阶段、思想基础","","C","无","单选题"
"304","（    ）是全党一项重大的政治任务，是关系党和国家生死存亡的严重政治斗争。","坚决反对和防止腐败","讲学习、讲政治、讲正气","驾驭市场经济的能力","维护党中央的决定","","A","无","单选题"
"305","（  ）是从全局和战略高度确立的统筹区域发展和现代化建设的总体布局。","区域发展长期战略","区域发展总体战略","总体发展战略","统筹发展战略","","B","无","单选题"
"306","(     )年的宪法修正案正式将邓小平理论载入宪法。","1998","1997","1999","2000","","C","无","单选题"
"307","三个代表重要思想把发展先进生产力、发展先进文化和实现最广大人民的根本利益统一起来，从深层次上揭示了（    ）。","社会主义制度不断完善和发展的途径","把经济社会发展转入以人为本、全面协调可持续发展的途径","初级阶段社会主义建设的基本规律","新时代中国特色社会主义的本质特征、发展规律","","A","无","单选题"
"308","党的（   ）将""三个代表""重要思想与马克思列宁主义、毛泽东思想和邓小平理论一道确立为党必须长期坚持的指导思想，并写入党章。","十四大","十六大","十七大","十五大","","B","无","单选题"
"309","（  ）集中体现了马克思主义的基本原理，体现了我们党全心全意为人民服务的根本宗旨和推动经济社会发展的根本目的，是社会主义的本质特征。","以人为本","全面协调可持续","统筹兼顾","建设美丽中国","","A","无","单选题"
"310","到（    ），我们已经胜利实现了现代化建设""三步走""战略的第一步、第二步目标，人民生活总体上达到小康水平。","21世纪前20年","21世纪初","20世纪末","21世纪中期","","C","无","单选题"
"311","科学发展观是我们党执政理念的丰富和发展，是全面建设小康社会、加快推进社会主义现代化的（  ）。","理论基础","根本指针","基本条件","最新成果","","B","无","单选题"
"312","邓小平在（ ）中对社会主义本质作出了总结性的理论概括。","南方谈话","党的十一届三中全会","党的十三大","党的十四大","","A","无","单选题"
"313","党的十六大以后，我们推进以（    ）为重点的社会建设，取消农业税，不断推进学有所教、劳有所得、病有所医、老有所养、住有所居，促进社会和谐稳定。","增加住房","改善民生","加快城乡建设","完善城镇医疗","","B","无","单选题"
"314","南方谈话是（    ）的集大成之作，从理论上深刻地回答了当时困扰和束缚人们思想的一系列重大问题，推动改革开放和社会主义现代化建设进入新阶段。","三个代表重要思想","毛泽东思想","邓小平理论","科学发展观","","C","无","单选题"
"315","《中共中央关于制定国民经济和社会发展第十二个五年规划的建议》指出：以（  ）为主题，是时代的要求，关系改革开放和现代化建设全局。","科学发展","快速发展","和平发展","稳健发展","","A","无","单选题"
"316","1956年，随着苏共二十大的召开和波匈事件的发生，（    ）的弊端初步暴露出来。","大跃进","社会主义","苏联模式","人民公社化","","C","无","单选题"
"317","科学发展观强调，坚持科学发展，要正确认识和处理发展（   ）的辩证关系，抓紧解决我国发展面临的突出矛盾和问题。","好与""快""","好与""精""","好与""新""","精与""快""","","A","无","单选题"
"318","坚持中国特色社会主义政治发展道路，最根本的是要坚持党的领导、人民当家作主、依法治国有机统一，其中，党的领导是人民当家作主和依法治国的（  ）。","重要基础","根本保证","基本依据","重要前提","","B","无","单选题"
"319","对于民族矛盾，毛泽东提出实行（   ）的方针。","宗教信仰自由","百花齐放","实行地方民族主义","民族平等、团结互助","","D","无","单选题"
"320","改革开放以来，我们党在强调加快发展的同时，始终重视发展的质量和效益，重视发展的（  ）。","可持续性","可创新性","可调节性","可重复性","","A","无","单选题"
"321","（  ）深刻体现了唯物辩证法在发展问题上的科学运用，深刻揭示了实现科学发展、促进社会和谐的基本途径，是正确处理经济社会发展中重大关系的方针原则。","全面协调可持续","统筹兼顾","以人为本","宏观调控","","B","无","单选题"
"322","邓小平站在时代的高度，敏锐地把握住了国际形势的重大变化，指出""应当把（    ）问题提到全人类的高度来认识，要从这个高度去观察问题和解决问题""。","改革","革命","和平","发展","","D","无","单选题"
"323","正是在探索和回答什么是社会主义、怎样建设社会主义这一（    ）理论问题的过程中，我们党开创了中国特色社会主义的伟大事业。","唯一的关键的","首要的基本的","复杂的艰难的","科学的未知的","","B","无","单选题"
"324","1982年9月1日至11日，中国共产党第十二次全国代表大会在北京举行。邓小平在开幕词中响亮提出：""把马克思主义的普遍真理同我国的具体实际结合起来，走自己的道路，（    ）。""","实现马克思主义中国化时代化","建设社会主义市场经济","建设有中国特色的社会主义","建设社会主义初级阶段","","C","无","单选题"
"325","在当代中国，坚持发展是硬道理的本质要求就是坚持（  ）。","科学发展","求真务实","改革开放","科技创新","","A","无","单选题"
"326","科学发展观提出（  ）的根本要求，把发展看作是相互推进、系统协调的过程。","以人为本","统筹兼顾","协同推进","协调发展","","B","无","单选题"
"327","社会主义制度建立以后，(     )是我们党必须认真研究和解决的一个重大课题。","如何深化阶级斗争","如何开展整风运动","如何继续进行革命","如何巩固和发展社会主义制度","","D","无","单选题"
"328","党在社会主义初级阶段的基本路线中，（ ）是实现奋斗目标的根本立足点。","以经济建设为中心","坚持四项基本原则","自力更生，艰苦创业","领导和团结各族人民","","C","无","单选题"
"329","2008年12月，中央召开经济工作会议，强调科学发展观第一要义是（    ），越是在经济发展面临较大困难的时候，我们越是要坚定不移地贯彻发展是硬道理的战略思想。","开放","发展","改革","以人为本","","B","无","单选题"
"330","（ ）是立国之本，是我们党和国家生存发展的政治基石。","四项基本原则","计划生育","一国两制","改革开放","","A","无","单选题"
"331","坚持以人为本，就要坚持发展为了人民，始终把（  ）放在第一位。","人的发展","最广大人民的根本利益","经济建设","发展民生","","B","无","单选题"
"332","党的十九届六中全会指出，改革开放和社会主义现代化建设新时期，党面临的主要任务是，继续探索中国建设社会主义的正确道路，解放和发展社会生产力，使人民摆脱贫困、尽快富裕起来，为实现中华民族伟大复兴提供充满新的活力的体制保证和快速发展的（    ）。","文化条件","精神条件","物质条件","政治条件","","C","无","单选题"
"333","为了更好地实现现代化发展战略，邓小平提出了（ ）发展的思想，要求抓住机遇，加快发展，争取隔几年使国民经济上一个新台阶。","台阶式","渐进式","平稳式","螺旋式","","A","无","单选题"
"334","科学发展观所要求的全面发展，以（   ）为中心。","政治建设","经济建设","科技发展","人的全面发展","","B","无","单选题"
"335","在""三个代表""重要思想指导下，中国共产党领导全国各族人民，在国内外形势十分复杂、世界社会主义出现严重曲折的严峻考验面前捍卫了中国特色社会主义，开创全面改革开放新局面，推进党的建设新的（    ），成功把中国特色社会主义推向21世纪。","伟大事业","伟大梦想","伟大斗争","伟大工程","","D","无","单选题"
"336","党的（  ）提出，统筹城乡发展，推进社会主义新农村建设，要加强农业基础地位，走中国特色农业现代化道路，建立以工促农、以城带乡长效机制，形成城乡经济社会发展一体化新格局。","十七大","十六大","十五大","十八大","","A","无","单选题"
"337","世纪之交，我们已经实现了现代化建设""三步走""战略的（    ）目标。","全部","第一步","前两步","全面建设小康社会","","C","无","单选题"
"338","科学发展观指出，（  ）是经济社会可持续发展的重要条件，也是一个民族生存和发展的根本基础。","优秀的科技创新能力","良好的生态环境","强有力的军事实力","稳定的政治环境","","B","无","单选题"
"339","进入21世纪，世界处在大发展大变革大调整之中。和平与发展仍然是时代主题。以下具体表现表述不正确的是（    ）。","科技革命加速推进","世界多极化不可逆转","逆全球化掀起浪潮","大国关系深刻变动","","C","无","单选题"
"340","中国的改革和建设靠我们来领导。如果我们把作风整顿好了，我们在工作中就会更加主动，我们的本事就会更大，工作就会做得更好。毛泽东这是在讲（　　）问题。","军队建设","文化建设","经济建设","党的建设","","D","无","单选题"
"341","习近平总书记指出，党的基本路线是国家的生命线、人民的幸福线，我们要坚持把（ ）作为兴国之要。","以经济建设为中心","以政治建设为中心","四项基本原则","改革开放","","A","无","单选题"
"342","中国特色社会主义理论体系，是在认真总结我国社会主义建设（    ）的历史经验、科学判断党和国家发展所处历史方位的基础上形成并不断发展的。","错误教训","取得成功","正反两方面","深化改革","","C","无","单选题"
"343","1987年，党的十三大确认了（ ）是当今世界的两大主题这一深刻论断。","和平与稳定","和平与发展","稳定与发展","战争与冲突","","B","无","单选题"
"344","谁掌握了先进的（  ），谁就掌握了经济社会发展的主动权。","科学技术","武器装备","文学艺术","政治策略","","A","无","单选题"
"345","只有自觉坚持把（  ）的要求贯彻到经济社会发展各方面，体现到党和国家各项方针政策中，实现科学发展才能具有最广泛最深厚的群众基础。","依法治国","以人为本","统筹兼顾","党风廉政建设","","B","无","单选题"
"346","党的十八大以来，以习近平同志为核心的党中央创立习近平新时代中国特色社会主义思想，实现了马克思主义（    ）新的飞跃，为新时代党和国家事业发展提供了根本遵循。","时代化民族化","中国化创新化","中国化时代化","时代化创新化","","C","无","单选题"
"347","江泽民强调，必须""大力推动科技进步和创新，不断用先进科技改造和提高国民经济，努力实现我国（    ）的跨越""。","生产力发展","劳动者素质","经济增长模式","教育水平","","A","无","单选题"
"348","20世纪六七十年代我国国民经济发展遵循的重要指导方针是（   ）。","自由发展","团结-批评-团结","统筹兼顾","备战、备荒、为人民","","D","无","单选题"
"349","（  ），是我们党对人民的庄严承诺，是全国各族人民根本利益所在。","全面建设小康社会","全面建成小康社会","统筹经济社会发展","保障和改善民生","","B","无","单选题"
"350","我国改革从（    ）率先突破，逐步转向城市经济体制改革并全面铺开，确立社会主义市场经济的改革方向。","计划少一点，市场多一点","计划经济为主，市场经济为辅","农村实行家庭联产承包责任制","开辟经济开放区","","C","无","单选题"
"351","社会主义民主政治的本质和核心是（  ）。","人民代表大会制度","人民当家作主","为人民服务","人民民主专政","","B","无","单选题"
